Date,Provider,Number,Duration
01/10/2015,MTN,0832401145,00h05m34s
01/10/2015,MTN,0838758090,00h01m34s
03/10/2015,Vodacom,0821302398,00h00m34s
03/10/2015,CellC,0841257809,00h02m34s
03/10/2015,MTN,0832401145,00h06m34s
06/10/2015,CellC,0841257809,00h05m34s
06/10/2015,Vodacom,0821302398,00h02m04s
06/10/2015,MTN,0838758090,00h01m16s
07/10/2015,CellC,0841257809,00h03m04s
10/10/2015,MTN,0832401145,00h02m41s
10/10/2015,MTN,0838758090,00h09m11s
10/10/2015,Vodacom,0828907600,00h00h56ss
10/10/2015,CellC,0825605600,00h01m40s
11/10/2015,MTN,0832401145,00h05m34s
12/10/2015,CellC,0825605600,00h01m34s
12/10/2015,Vodacom,0824501276,00h00m34s
13/10/2015,MTN,0838758090,00h02m07s
14/10/2015,CellC,0841257809,00h06m34s
14/10/2015,MTN,0838758090,00h05m34s
15/10/2015,MTN,0832401145,00h02m39s
15/10/2015,Vodacom,0821005078,00h01m16s
15/10/2015,CellC,0841257809,00h03m04s
16/10/2015,MTN,0831239023,00h02m41s
16/10/2015,CellC,0845009087,00h09m11s
17/10/2015,Vodacom,0828009712,00h00h56ss
18/10/2015,MTN,0832004576,00h01m40s
21/10/2015,CellC,0841257809,00h05m34s
21/10/2015,MTN,0831239023,00h01m34s
22/10/2015,MTN,0837351200,00h00m34s
23/10/2015,Vodacom,0828901271,00h02m34s
23/10/2015,CellC,0841257809,00h06m34s
24/10/2015,MTN,0834590001,00h05m34s
24/10/2015,CellC,0841257809,00h02m04s
24/10/2015,Vodacom,0824009001,00h01m16s
27/10/2015,MTN,0831239023,00h03m04s
